                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    113,                0.79891,                0.36876,                0.95927,                0.98485,                0.96104,                0.96714,                0.67053,                  1.158,                0.43032,                 1.1115,              0.0003323,              0.0003323,              0.0003323
                    114,                0.79292,                0.36322,                0.95601,                0.99818,                0.97403,                0.98547,                0.67094,                  1.175,                 0.4315,                 1.1173,             0.00031733,             0.00031733,             0.00031733
                    115,                0.79412,                0.36527,                0.95995,                0.99793,                0.97403,                0.98246,                0.66782,                 1.1668,                0.43592,                  1.122,             0.00030267,             0.00030267,             0.00030267
                    116,                0.78965,                 0.3639,                0.95858,                 0.9983,                0.97403,                0.98342,                0.67932,                 1.1644,                0.43089,                 1.1223,             0.00028832,             0.00028832,             0.00028832
                    117,                 0.7956,                0.36406,                0.95792,                0.98563,                0.96104,                0.97801,                0.66518,                 1.1707,                0.43841,                 1.1176,             0.00027429,             0.00027429,             0.00027429
                    118,                0.79014,                0.36227,                0.95449,                0.97253,                0.94805,                0.95812,                0.66803,                 1.1719,                0.44151,                 1.1179,             0.00026057,             0.00026057,             0.00026057
                    119,                0.79299,                0.36108,                0.95731,                0.98485,                0.96104,                0.96729,                0.67296,                 1.1838,                 0.4443,                 1.1118,             0.00024719,             0.00024719,             0.00024719
                    120,                0.78602,                0.35928,                0.95646,                0.98587,                0.96104,                0.96842,                 0.6734,                 1.1754,                0.44343,                 1.1143,             0.00023414,             0.00023414,             0.00023414
                    121,                0.78709,                  0.359,                 0.9569,                0.98665,                0.96018,                 0.9649,                0.66961,                 1.1743,                0.44668,                 1.1108,             0.00022144,             0.00022144,             0.00022144
                    122,                0.78974,                0.35881,                0.95705,                0.98664,                0.95934,                0.96807,                0.67794,                 1.1831,                0.44472,                 1.1161,             0.00020907,             0.00020907,             0.00020907
                    123,                0.78233,                0.35652,                0.95497,                0.98483,                0.94805,                0.96205,                0.67113,                 1.1558,                0.44295,                 1.1063,             0.00019706,             0.00019706,             0.00019706
                    124,                0.77929,                0.35504,                0.95212,                0.98665,                0.95992,                0.96465,                0.66869,                   1.17,                0.44715,                 1.1067,             0.00018541,             0.00018541,             0.00018541
                    125,                0.78284,                0.35743,                0.95337,                0.98642,                0.96104,                 0.9652,                0.67237,                 1.1723,                0.45224,                 1.1064,             0.00017412,             0.00017412,             0.00017412
                    126,                0.78188,                0.35657,                0.95126,                0.98637,                0.96104,                0.96666,                 0.6739,                 1.1725,                0.45675,                 1.1086,             0.00016319,             0.00016319,             0.00016319
                    127,                0.77878,                0.35429,                0.95344,                0.98648,                0.94762,                0.96898,                0.66787,                 1.1815,                0.46758,                 1.1121,             0.00015263,             0.00015263,             0.00015263
                    128,                0.78176,                0.35633,                0.95194,                0.98648,                0.94733,                0.96909,                0.67768,                 1.1652,                0.45598,                 1.1032,             0.00014246,             0.00014246,             0.00014246
                    129,                0.77695,                0.35344,                0.94831,                0.98647,                0.94715,                 0.9667,                0.67322,                 1.1627,                0.45862,                 1.0985,             0.00013266,             0.00013266,             0.00013266
                    130,                0.78036,                 0.3535,                   0.95,                 0.9839,                0.96104,                0.97192,                0.68135,                 1.1737,                0.44919,                 1.1072,             0.00012325,             0.00012325,             0.00012325
                    131,                0.77571,                0.35178,                0.95202,                0.98325,                0.96104,                0.97022,                0.68033,                 1.1663,                0.44235,                 1.1017,             0.00011422,             0.00011422,             0.00011422
                    132,                0.77354,                0.35079,                0.94963,                0.98518,                0.96104,                0.96947,                0.68104,                 1.1766,                0.44964,                  1.102,             0.00010559,             0.00010559,             0.00010559
                    133,                0.77795,                0.35181,                0.94999,                0.98556,                0.96104,                0.97078,                0.68029,                 1.1748,                0.45046,                 1.1061,             9.7355e-05,             9.7355e-05,             9.7355e-05
                    134,                0.77463,                0.35041,                0.94929,                0.98635,                0.96104,                0.96985,                 0.6779,                 1.1649,                 0.4434,                 1.1025,             8.9521e-05,             8.9521e-05,             8.9521e-05
                    135,                0.77476,                0.35173,                0.94949,                0.98665,                0.95997,                0.96905,                0.67467,                 1.1756,                0.44882,                 1.1049,             8.2091e-05,             8.2091e-05,             8.2091e-05
                    136,                0.77339,                0.35213,                0.94948,                0.98664,                0.95923,                0.96937,                0.68015,                 1.1745,                0.44888,                 1.1033,             7.5067e-05,             7.5067e-05,             7.5067e-05
                    137,                0.77569,                0.34891,                0.95253,                0.98623,                0.96104,                0.96978,                0.68592,                 1.1709,                0.44996,                 1.1045,             6.8454e-05,             6.8454e-05,             6.8454e-05
